COUNTRY;MONTH;REGISTRATIONS
Hungary;2012-10-01;4045
Ireland;2012-10-01;1658
Italy;2012-10-01;117398
Latvia;2012-10-01;1001
Lithuania;2012-10-01;1188
Luxembourg;2012-10-01;4454
Netherlands;2012-10-01;26775
Poland;2012-10-01;22048
Portugal;2012-10-01;7387
Romania;2012-10-01;6861
Slovakia;2012-10-01;4796
Slovenia;2012-10-01;3825
Spain;2012-10-01;44873
Sweden;2012-10-01;24028
United Kingdom;2012-10-01;151252
Iceland;2012-10-01;519
Norway;2012-10-01;12413
Switzerland;2012-10-01;26361
Austria;2012-11-01;24377
Belgium;2012-11-01;35834
Bulgaria;2012-11-01;1796
Czech Republic;2012-11-01;14203
Denmark;2012-11-01;16318
Estonia;2012-11-01;1560
Finland;2012-11-01;7716
France;2012-11-01;144602
Germany;2012-11-01;259846
Greece;2012-11-01;4164
Hungary;2012-11-01;4645
Ireland;2012-11-01;883
Italy;2012-11-01;107058
Latvia;2012-11-01;873
Lithuania;2012-11-01;958
Luxembourg;2012-11-01;3782
Netherlands;2012-11-01;30270
Poland;2012-11-01;23062
Portugal;2012-11-01;7133
Romania;2012-11-01;6384
Slovakia;2012-11-01;5554
Slovenia;2012-11-01;3845
Spain;2012-11-01;48155
Sweden;2012-11-01;25052
United Kingdom;2012-11-01;149191
Iceland;2012-11-01;496
Norway;2012-11-01;11986
Switzerland;2012-11-01;26674
Austria;2012-12-01;18421
Belgium;2012-12-01;22324
Bulgaria;2012-12-01;2170
Czech Republic;2012-12-01;12783
Denmark;2012-12-01;10694
Estonia;2012-12-01;1043
Finland;2012-12-01;6410
France;2012-12-01;160314
Germany;2012-12-01;204331
Greece;2012-12-01;3669
Hungary;2012-12-01;5048
Ireland;2012-12-01;316
Italy;2012-12-01;87480
Latvia;2012-12-01;796
Lithuania;2012-12-01;842
Luxembourg;2012-12-01;3072
Netherlands;2012-12-01;18214
Poland;2012-12-01;20820
Portugal;2012-12-01;6359
Romania;2012-12-01;5340
Slovakia;2012-12-01;5073
Slovenia;2012-12-01;2571
Spain;2012-12-01;51197
Sweden;2012-12-01;27108
United Kingdom;2012-12-01;123557
Iceland;2012-12-01;544
Norway;2012-12-01;9369
Switzerland;2012-12-01;28531
Austria;2013-01-01;27761
Belgium;2013-01-01;50684
Bulgaria;2013-01-01;1295
Croatia;2013-01-01;1814
Czech Republic;2013-01-01;12073
Denmark;2013-01-01;14735
Estonia;2013-01-01;1713
Finland;2013-01-01;10252
France;2013-01-01;124798
Germany;2013-01-01;192090
Greece;2013-01-01;5533
Hungary;2013-01-01;3654
Ireland;2013-01-01;17260
Italy;2013-01-01;114102
Latvia;2013-01-01;776
Lithuania;2013-01-01;1001
Luxembourg;2013-01-01;3375
Netherlands;2013-01-01;47959
Poland;2013-01-01;26188
Portugal;2013-01-01;7021
Romania;2013-01-01;4436
Slovakia;2013-01-01;4371
Slovenia;2013-01-01;4424
Spain;2013-01-01;49675
Sweden;2013-01-01;15721
United Kingdom;2013-01-01;143643
Iceland;2013-01-01;460
Norway;2013-01-01;11639
Switzerland;2013-01-01;21285
Austria;2013-02-01;21196
Belgium;2013-02-01;45400
Bulgaria;2013-02-01;1470
Croatia;2013-02-01;1787
Czech Republic;2013-02-01;10562
Denmark;2013-02-01;12223
Estonia;2013-02-01;1364
Finland;2013-02-01;7861
France;2013-02-01;143255
Germany;2013-02-01;200683
Greece;2013-02-01;4116
Hungary;2013-02-01;3839
Ireland;2013-02-01;10583
Italy;2013-02-01;108963
Latvia;2013-02-01;773
Lithuania;2013-02-01;782
Luxembourg;2013-02-01;4090
Netherlands;2013-02-01;31900
Poland;2013-02-01;24072
Portugal;2013-02-01;7517
Romania;2013-02-01;3473
Slovakia;2013-02-01;4401
Slovenia;2013-02-01;3853
Spain;2013-02-01;58372
Sweden;2013-02-01;17860
United Kingdom;2013-02-01;66749
Iceland;2013-02-01;380
Norway;2013-02-01;11322
Switzerland;2013-02-01;22188
Austria;2013-03-01;31067
Belgium;2013-03-01;53076
Bulgaria;2013-03-01;1531
Croatia;2013-03-01;2436
Czech Republic;2013-03-01;13823
Denmark;2013-03-01;14925
Estonia;2013-03-01;1630
Finland;2013-03-01;9491
France;2013-03-01;165829
Germany;2013-03-01;281184
Greece;2013-03-01;4493
Hungary;2013-03-01;5063
Ireland;2013-03-01;11649
Italy;2013-03-01;132753
Latvia;2013-03-01;805
Lithuania;2013-03-01;956
Luxembourg;2013-03-01;4850
Netherlands;2013-03-01;35558
Poland;2013-03-01;25374
Portugal;2013-03-01;9624
Romania;2013-03-01;3324
Slovakia;2013-03-01;5729
Slovenia;2013-03-01;4648
Spain;2013-03-01;72678
Sweden;2013-03-01;22493
United Kingdom;2013-03-01;394806
Iceland;2013-03-01;493
Norway;2013-03-01;10735
Switzerland;2013-03-01;28638
Austria;2013-04-01;30807
Belgium;2013-04-01;53036
Bulgaria;2013-04-01;1692
Croatia;2013-04-01;2813
Czech Republic;2013-04-01;15063
Denmark;2013-04-01;15807
Estonia;2013-04-01;1936
Finland;2013-04-01;9822
France;2013-04-01;157749
Germany;2013-04-01;284444
Greece;2013-04-01;5332
Hungary;2013-04-01;4623
Ireland;2013-04-01;6152
Italy;2013-04-01;116838
Latvia;2013-04-01;796
Lithuania;2013-04-01;1045
Luxembourg;2013-04-01;5160
Netherlands;2013-04-01;30405
Poland;2013-04-01;24018
Portugal;2013-04-01;8042
Romania;2013-04-01;5242
Slovakia;2013-04-01;5765
Slovenia;2013-04-01;4794
Spain;2013-04-01;62317
Sweden;2013-04-01;24175
United Kingdom;2013-04-01;163357
Iceland;2013-04-01;579
Norway;2013-04-01;13988
Switzerland;2013-04-01;28047
Austria;2013-05-01;29094
Belgium;2013-05-01;44519
Bulgaria;2013-05-01;1678
Croatia;2013-05-01;3344
Czech Republic;2013-05-01;14821
Denmark;2013-05-01;16609
Estonia;2013-05-01;2003
Finland;2013-05-01;10230
France;2013-05-01;148490
Germany;2013-05-01;261316
Greece;2013-05-01;5242
Hungary;2013-05-01;5006
Ireland;2013-05-01;5948
Italy;2013-05-01;136850
Latvia;2013-05-01;960
Lithuania;2013-05-01;1109
Luxembourg;2013-05-01;4614
Netherlands;2013-05-01;30077
Poland;2013-05-01;22617
Portugal;2013-05-01;10093
Romania;2013-05-01;4107
Slovakia;2013-05-01;5906
Slovenia;2013-05-01;4911
Spain;2013-05-01;70546
Sweden;2013-05-01;25782
United Kingdom;2013-05-01;180111
Iceland;2013-05-01;1424
Norway;2013-05-01;12012
Switzerland;2013-05-01;27093
Austria;2013-06-01;31279
Belgium;2013-06-01;43158
Bulgaria;2013-06-01;2000
Croatia;2013-06-01;3190
Czech Republic;2013-06-01;14484
Denmark;2013-06-01;17538
Estonia;2013-06-01;1702
Finland;2013-06-01;8816
France;2013-06-01;191355
Germany;2013-06-01;282913
Greece;2013-06-01;5648
Hungary;2013-06-01;4982
Ireland;2013-06-01;1672
Italy;2013-06-01;122815
Latvia;2013-06-01;1027
Lithuania;2013-06-01;1121
Luxembourg;2013-06-01;4320
Netherlands;2013-06-01;35039
Poland;2013-06-01;24998
Portugal;2013-06-01;12735
Romania;2013-06-01;3967
Slovakia;2013-06-01;5872
Slovenia;2013-06-01;5920
Spain;2013-06-01;72771
Sweden;2013-06-01;22869
United Kingdom;2013-06-01;214957
Iceland;2013-06-01;1468
Norway;2013-06-01;10948
Switzerland;2013-06-01;28772
Austria;2013-07-01;28543
Belgium;2013-07-01;34879
Bulgaria;2013-07-01;1738
Croatia;2013-07-01;3224
Czech Republic;2013-07-01;14534
Denmark;2013-07-01;14291
Estonia;2013-07-01;1811
Finland;2013-07-01;8451
France;2013-07-01;150218
Germany;2013-07-01;253146
Greece;2013-07-01;6462
Hungary;2013-07-01;5037
Ireland;2013-07-01;11639
Italy;2013-07-01;108339
Latvia;2013-07-01;934
Lithuania;2013-07-01;1071
Luxembourg;2013-07-01;3905
Netherlands;2013-07-01;30470
Poland;2013-07-01;24717
Portugal;2013-07-01;10843
Romania;2013-07-01;5714
Slovakia;2013-07-01;5709
Slovenia;2013-07-01;4308
Spain;2013-07-01;75027
Sweden;2013-07-01;18161
United Kingdom;2013-07-01;162228
Iceland;2013-07-01;635
Norway;2013-07-01;11312
Switzerland;2013-07-01;25923
Austria;2013-08-01;23063
Belgium;2013-08-01;29829
Bulgaria;2013-08-01;1793
Croatia;2013-08-01;1539
Czech Republic;2013-08-01;11596
Denmark;2013-08-01;14276
Estonia;2013-08-01;1589
Finland;2013-08-01;7731
France;2013-08-01;85953
Germany;2013-08-01;214044
Greece;2013-08-01;3373
Hungary;2013-08-01;4165
Ireland;2013-08-01;3698
Italy;2013-08-01;53296
Latvia;2013-08-01;752
Lithuania;2013-08-01;828
Luxembourg;2013-08-01;2554
Netherlands;2013-08-01;28294
Poland;2013-08-01;18827
Portugal;2013-08-01;6141
Romania;2013-08-01;6319
Slovakia;2013-08-01;4243
Slovenia;2013-08-01;3436
Spain;2013-08-01;39874
Sweden;2013-08-01;21616
United Kingdom;2013-08-01;65937
Iceland;2013-08-01;429
Norway;2013-08-01;11660
Switzerland;2013-08-01;20886
Austria;2013-09-01;25301
Belgium;2013-09-01;34890
Bulgaria;2013-09-01;1692
Croatia;2013-09-01;1817
Czech Republic;2013-09-01;13208
Denmark;2013-09-01;14540
Estonia;2013-09-01;1569
Finland;2013-09-01;8219
France;2013-09-01;142166
Germany;2013-09-01;247199
Greece;2013-09-01;3814
Hungary;2013-09-01;4679
Ireland;2013-09-01;3161
Italy;2013-09-01;106940
Latvia;2013-09-01;940
Lithuania;2013-09-01;986
Luxembourg;2013-09-01;3158
Netherlands;2013-09-01;31393
Poland;2013-09-01;21467
Portugal;2013-09-01;7369
Romania;2013-09-01;4491
Slovakia;2013-09-01;5084
Slovenia;2013-09-01;4025
Spain;2013-09-01;45175
Sweden;2013-09-01;24388
United Kingdom;2013-09-01;403136
Iceland;2013-09-01;350
Norway;2013-09-01;12168
Switzerland;2013-09-01;22518
Austria;2013-10-01;26743
Belgium;2013-10-01;39490
Bulgaria;2013-10-01;1799
Croatia;2013-10-01;2194
Czech Republic;2013-10-01;15346
Denmark;2013-10-01;16832
Estonia;2013-10-01;1798
Finland;2013-10-01;9099
France;2013-10-01;166495
Germany;2013-10-01;265441
Greece;2013-10-01;4971
Hungary;2013-10-01;5122
Ireland;2013-10-01;1692
Italy;2013-10-01;111466
Latvia;2013-10-01;1161
Lithuania;2013-10-01;1196
Luxembourg;2013-10-01;4499
Netherlands;2013-10-01;36307
Poland;2013-10-01;26433
Portugal;2013-10-01;9092
Romania;2013-10-01;5594
Slovakia;2013-10-01;6599
Slovenia;2013-10-01;4641
Spain;2013-10-01;60304
Sweden;2013-10-01;25332
United Kingdom;2013-10-01;157314
Iceland;2013-10-01;467
Norway;2013-10-01;12893
Switzerland;2013-10-01;26310
Austria;2013-11-01;23350
Belgium;2013-11-01;32023
Bulgaria;2013-11-01;1815
Croatia;2013-11-01;1922
Czech Republic;2013-11-01;14697
Denmark;2013-11-01;15872
Estonia;2013-11-01;1577
Finland;2013-11-01;7440
France;2013-11-01;138829
Germany;2013-11-01;254651
Greece;2013-11-01;5464
Hungary;2013-11-01;4943
Ireland;2013-11-01;701
Italy;2013-11-01;102871
Latvia;2013-11-01;894
Lithuania;2013-11-01;1139
Luxembourg;2013-11-01;3544
Netherlands;2013-11-01;40354
Poland;2013-11-01;24049
Portugal;2013-11-01;8810
Romania;2013-11-01;5474
Slovakia;2013-11-01;5668
Slovenia;2013-11-01;3986
Spain;2013-11-01;55451
Sweden;2013-11-01;24738
United Kingdom;2013-11-01;159581
Iceland;2013-11-01;299
Norway;2013-11-01;12079
Switzerland;2013-11-01;24772
Austria;2013-12-01;20831
Belgium;2013-12-01;25081
Bulgaria;2013-12-01;2215
Croatia;2013-12-01;1722
Czech Republic;2013-12-01;14539
Denmark;2013-12-01;14248
Estonia;2013-12-01;1002
Finland;2013-12-01;5902
France;2013-12-01;175319
Germany;2013-12-01;215320
Greece;2013-12-01;4248
Hungary;2013-12-01;5026
Ireland;2013-12-01;212
Italy;2013-12-01;89415
Latvia;2013-12-01;818
Lithuania;2013-12-01;929
Luxembourg;2013-12-01;2555
Netherlands;2013-12-01;38918
Poland;2013-12-01;26238
Portugal;2013-12-01;8634
Romania;2013-12-01;5569
Slovakia;2013-12-01;6653
Slovenia;2013-12-01;2639
Spain;2013-12-01;60499
Sweden;2013-12-01;26423
United Kingdom;2013-12-01;152918
Iceland;2013-12-01;290
Norway;2013-12-01;11395
Switzerland;2013-12-01;29496
Austria;2014-01-01;23990
Belgium;2014-01-01;49584
Bulgaria;2014-01-01;1385
Croatia;2014-01-01;2080
Czech Republic;2014-01-01;13638
Denmark;2014-01-01;16255
Estonia;2014-01-01;1622
Finland;2014-01-01;12699
France;2014-01-01;125454
Germany;2014-01-01;205996
Greece;2014-01-01;6385
Hungary;2014-01-01;4373
Ireland;2014-01-01;22891
Italy;2014-01-01;118464
Latvia;2014-01-01;966
Lithuania;2014-01-01;1176
Luxembourg;2014-01-01;3415
Netherlands;2014-01-01;44369
Poland;2014-01-01;28877
Portugal;2014-01-01;9261
Romania;2014-01-01;5118
Slovakia;2014-01-01;5455
Slovenia;2014-01-01;4690
Spain;2014-01-01;53436
Sweden;2014-01-01;18673
United Kingdom;2014-01-01;154562
Iceland;2014-01-01;538
Norway;2014-01-01;11385
Switzerland;2014-01-01;20374
Austria;2014-02-01;27589
Belgium;2014-02-01;46140
Bulgaria;2014-02-01;1579
Croatia;2014-02-01;2185
Czech Republic;2014-02-01;12779
Denmark;2014-02-01;14726
Estonia;2014-02-01;1424
Finland;2014-02-01;8177
France;2014-02-01;141290
Germany;2014-02-01;209349
Greece;2014-02-01;4356
Hungary;2014-02-01;4957
Ireland;2014-02-01;12711
Italy;2014-02-01;118976
Latvia;2014-02-01;903
Lithuania;2014-02-01;1044
Luxembourg;2014-02-01;4123
Netherlands;2014-02-01;33300
Poland;2014-02-01;32288
Portugal;2014-02-01;10547
Romania;2014-02-01;3650
Slovakia;2014-02-01;5385
Slovenia;2014-02-01;4102
Spain;2014-02-01;68763
Sweden;2014-02-01;21525
United Kingdom;2014-02-01;68736
Iceland;2014-02-01;494
Norway;2014-02-01;11246
Switzerland;2014-02-01;21873
Austria;2014-03-01;29702
Belgium;2014-03-01;52808
Bulgaria;2014-03-01;1862
Croatia;2014-03-01;3064
Czech Republic;2014-03-01;16576
Denmark;2014-03-01;16771
Estonia;2014-03-01;1699
Finland;2014-03-01;9623
France;2014-03-01;179865
Germany;2014-03-01;296408
Greece;2014-03-01;5866
Hungary;2014-03-01;6163
Ireland;2014-03-01;14297
Italy;2014-03-01;140189
Latvia;2014-03-01;981
Lithuania;2014-03-01;1136
Luxembourg;2014-03-01;4773
Netherlands;2014-03-01;29366
Poland;2014-03-01;35327
Portugal;2014-03-01;14152
Romania;2014-03-01;4577
Slovakia;2014-03-01;6015
Slovenia;2014-03-01;5193
Spain;2014-03-01;79928
Sweden;2014-03-01;27605
United Kingdom;2014-03-01;464824
Iceland;2014-03-01;535
Norway;2014-03-01;13861
Switzerland;2014-03-01;26296
Austria;2014-04-01;29240
Belgium;2014-04-01;53319
Bulgaria;2014-04-01;1937
Croatia;2014-04-01;4665
Czech Republic;2014-04-01;17498
Denmark;2014-04-01;16471
Estonia;2014-04-01;2043
Finland;2014-04-01;9315
France;2014-04-01;166959
Germany;2014-04-01;274097
Greece;2014-04-01;5444
Hungary;2014-04-01;5516
Ireland;2014-04-01;7822
Italy;2014-04-01;119850
Latvia;2014-04-01;1067
Lithuania;2014-04-01;1417
Luxembourg;2014-04-01;5220
Netherlands;2014-04-01;28282
Poland;2014-04-01;27611
Portugal;2014-04-01;12314
Romania;2014-04-01;4932
Slovakia;2014-04-01;5989
Slovenia;2014-04-01;4963
Spain;2014-04-01;80174
Sweden;2014-04-01;27543
United Kingdom;2014-04-01;176820
Iceland;2014-04-01;683
Norway;2014-04-01;12115
Switzerland;2014-04-01;27541
Austria;2014-05-01;26986
Belgium;2014-05-01;42955
Bulgaria;2014-05-01;1849
Croatia;2014-05-01;4870
Czech Republic;2014-05-01;15396
Denmark;2014-05-01;16831
Estonia;2014-05-01;1987
Finland;2014-05-01;10107
France;2014-05-01;148951
Germany;2014-05-01;274804
Greece;2014-05-01;7459
Hungary;2014-05-01;5739
Ireland;2014-05-01;6272
Italy;2014-05-01;132312
Latvia;2014-05-01;1121
Lithuania;2014-05-01;1340
Luxembourg;2014-05-01;5198
Netherlands;2014-05-01;30944
Poland;2014-05-01;24231
Portugal;2014-05-01;13782
Romania;2014-05-01;6001
Slovakia;2014-05-01;6260
Slovenia;2014-05-01;4802
Spain;2014-05-01;82483
Sweden;2014-05-01;27652
United Kingdom;2014-05-01;194032
Iceland;2014-05-01;2156
Norway;2014-05-01;12337
Switzerland;2014-05-01;25772
Austria;2014-06-01;29100
Belgium;2014-06-01;43018
Bulgaria;2014-06-01;2144
Croatia;2014-06-01;4269
Czech Republic;2014-06-01;18171
Denmark;2014-06-01;17533
Estonia;2014-06-01;1894
Finland;2014-06-01;9215
France;2014-06-01;196233
Germany;2014-06-01;277614
Greece;2014-06-01;7964
Hungary;2014-06-01;6255
Ireland;2014-06-01;1684
Italy;2014-06-01;128272
Latvia;2014-06-01;1122
Lithuania;2014-06-01;1223
Luxembourg;2014-06-01;4416
Netherlands;2014-06-01;32700
Poland;2014-06-01;25305
Portugal;2014-06-01;15735
Romania;2014-06-01;6947
Slovakia;2014-06-01;6891
Slovenia;2014-06-01;4892
Spain;2014-06-01;90159
Sweden;2014-06-01;28749
United Kingdom;2014-06-01;228291
Iceland;2014-06-01;1965
Norway;2014-06-01;11441
Switzerland;2014-06-01;27715
Austria;2014-07-01;24772
Belgium;2014-07-01;35275
Bulgaria;2014-07-01;1796
Croatia;2014-07-01;3060
Czech Republic;2014-07-01;17700
Denmark;2014-07-01;14239
Estonia;2014-07-01;1942
Finland;2014-07-01;8025
France;2014-07-01;143759
Germany;2014-07-01;270249
Greece;2014-07-01;7627
Hungary;2014-07-01;6129
Ireland;2014-07-01;18711
Italy;2014-07-01;114793
Latvia;2014-07-01;1178
Lithuania;2014-07-01;1448
Luxembourg;2014-07-01;4476
Netherlands;2014-07-01;29763
Poland;2014-07-01;25523
Portugal;2014-07-01;14169
Romania;2014-07-01;8368
Slovakia;2014-07-01;6656
Slovenia;2014-07-01;4666
Spain;2014-07-01;83365
Sweden;2014-07-01;20473
United Kingdom;2014-07-01;172907
Iceland;2014-07-01;742
Norway;2014-07-01;11690
Switzerland;2014-07-01;27267
Austria;2014-08-01;21121
Belgium;2014-08-01;28613
Bulgaria;2014-08-01;1588
Croatia;2014-08-01;1573
Czech Republic;2014-08-01;13937
Denmark;2014-08-01;14578
Estonia;2014-08-01;1639
Finland;2014-08-01;7528
France;2014-08-01;83715
Germany;2014-08-01;213092
Greece;2014-08-01;3693
Hungary;2014-08-01;4769
Ireland;2014-08-01;4865
Italy;2014-08-01;53505
Latvia;2014-08-01;921
Lithuania;2014-08-01;964
Luxembourg;2014-08-01;2944
Netherlands;2014-08-01;25523
Poland;2014-08-01;19983
Portugal;2014-08-01;7741
Romania;2014-08-01;6410
Slovakia;2014-08-01;5249
Slovenia;2014-08-01;3352
Spain;2014-08-01;45355
Sweden;2014-08-01;24274
United Kingdom;2014-08-01;72163
Iceland;2014-08-01;493
Norway;2014-08-01;11444
Switzerland;2014-08-01;19665
Austria;2014-09-01;24863
Belgium;2014-09-01;36383
Bulgaria;2014-09-01;1632
Croatia;2014-09-01;1994
Czech Republic;2014-09-01;15775
Denmark;2014-09-01;14373
Estonia;2014-09-01;1832
Finland;2014-09-01;8410
France;2014-09-01;151089
Germany;2014-09-01;260062
Greece;2014-09-01;5055
Hungary;2014-09-01;5480
Ireland;2014-09-01;3900
Italy;2014-09-01;111027
Latvia;2014-09-01;980
Lithuania;2014-09-01;1280
Luxembourg;2014-09-01;3582
Netherlands;2014-09-01;29807
Poland;2014-09-01;23546
Portugal;2014-09-01;9707
Romania;2014-09-01;5561
Slovakia;2014-09-01;5367
Slovenia;2014-09-01;4464
Spain;2014-09-01;57010
Sweden;2014-09-01;26142
United Kingdom;2014-09-01;425861
Iceland;2014-09-01;552
Norway;2014-09-01;11585
Switzerland;2014-09-01;21630
Austria;2014-10-01;26945
Belgium;2014-10-01;38115
Bulgaria;2014-10-01;1755
Croatia;2014-10-01;2496
Czech Republic;2014-10-01;17791
Denmark;2014-10-01;16307
Estonia;2014-10-01;2083
Finland;2014-10-01;8842
France;2014-10-01;160149
Germany;2014-10-01;275320
Greece;2014-10-01;6003
Hungary;2014-10-01;6115
Ireland;2014-10-01;2013
Italy;2014-10-01;122445
Latvia;2014-10-01;1207
Lithuania;2014-10-01;1251
Luxembourg;2014-10-01;4522
Netherlands;2014-10-01;35112
Poland;2014-10-01;28804
Portugal;2014-10-01;11795
Romania;2014-10-01;7344
Slovakia;2014-10-01;7282
Slovenia;2014-10-01;5182
Spain;2014-10-01;76073
Sweden;2014-10-01;28252
United Kingdom;2014-10-01;179714
Iceland;2014-10-01;547
Norway;2014-10-01;12963
Switzerland;2014-10-01;26209
Austria;2014-11-01;21619
Belgium;2014-11-01;29739
Bulgaria;2014-11-01;1654
Croatia;2014-11-01;1973
Czech Republic;2014-11-01;16365
Denmark;2014-11-01;15126
Estonia;2014-11-01;1981
Finland;2014-11-01;7227
France;2014-11-01;135067
Germany;2014-11-01;250082
Greece;2014-11-01;4983
Hungary;2014-11-01;5901
Ireland;2014-11-01;771
Italy;2014-11-01;108546
Latvia;2014-11-01;1006
Lithuania;2014-11-01;1159
Luxembourg;2014-11-01;3488
Netherlands;2014-11-01;32192
Poland;2014-11-01;24387
Portugal;2014-11-01;11719
Romania;2014-11-01;5669
Slovakia;2014-11-01;5484
Slovenia;2014-11-01;4261
Spain;2014-11-01;65122
Sweden;2014-11-01;25916
United Kingdom;2014-11-01;172327
Iceland;2014-11-01;412
Norway;2014-11-01;11486
Switzerland;2014-11-01;23471
Austria;2014-12-01;17391
Belgium;2014-12-01;26990
Bulgaria;2014-12-01;2005
Croatia;2014-12-01;1733
Czech Republic;2014-12-01;16688
Denmark;2014-12-01;15402
Estonia;2014-12-01;989
Finland;2014-12-01;7091
France;2014-12-01;163354
Germany;2014-12-01;229700
Greece;2014-12-01;6387
Hungary;2014-12-01;6079
Ireland;2014-12-01;347
Italy;2014-12-01;92199
Latvia;2014-12-01;1000
Lithuania;2014-12-01;1023
Luxembourg;2014-12-01;3636
Netherlands;2014-12-01;36214
Poland;2014-12-01;29489
Portugal;2014-12-01;11904
Romania;2014-12-01;5595
Slovakia;2014-12-01;6219
Slovenia;2014-12-01;3392
Spain;2014-12-01;73440
Sweden;2014-12-01;27144
United Kingdom;2014-12-01;166198
Iceland;2014-12-01;403
Norway;2014-12-01;12649
Switzerland;2014-12-01;32297
Austria;2015-01-01;23427
Belgium;2015-01-01;47324
Bulgaria;2015-01-01;1486
Croatia;2015-01-01;2424
Czech Republic;2015-01-01;15727
Denmark;2015-01-01;16010
Estonia;2015-01-01;1692
Finland;2015-01-01;10277
France;2015-01-01;133170
Germany;2015-01-01;211337
Greece;2015-01-01;5848
Hungary;2015-01-01;4880
Ireland;2015-01-01;29781
Italy;2015-01-01;132109
Latvia;2015-01-01;1148
Lithuania;2015-01-01;1421
Luxembourg;2015-01-01;3205
Netherlands;2015-01-01;47639
Poland;2015-01-01;29552
Portugal;2015-01-01;11840
Romania;2015-01-01;4978
Slovakia;2015-01-01;4577
Slovenia;2015-01-01;5174
Spain;2015-01-01;68119
Sweden;2015-01-01;20408
United Kingdom;2015-01-01;164856
Iceland;2015-01-01;678
Norway;2015-01-01;10523
Switzerland;2015-01-01;18520
Austria;2015-02-01;20641
Belgium;2015-02-01;44504
Bulgaria;2015-02-01;1557
Croatia;2015-02-01;2214
Czech Republic;2015-02-01;16383
Denmark;2015-02-01;13540
Estonia;2015-02-01;1239
Finland;2015-02-01;7991
France;2015-02-01;147584
Germany;2015-02-01;223254
Greece;2015-02-01;4894
Hungary;2015-02-01;5902
Ireland;2015-02-01;15762
Italy;2015-02-01;135310
Latvia;2015-02-01;829
Lithuania;2015-02-01;1069
Luxembourg;2015-02-01;3783
Netherlands;2015-02-01;33421
Poland;2015-02-01;28273
Portugal;2015-02-01;14307
Romania;2015-02-01;4116
Slovakia;2015-02-01;5306
Slovenia;2015-02-01;4314
Spain;2015-02-01;86719
Sweden;2015-02-01;23735
United Kingdom;2015-02-01;76958
Iceland;2015-02-01;628
Norway;2015-02-01;10685
Switzerland;2015-02-01;22452
Austria;2015-03-01;31086
Belgium;2015-03-01;55245
Bulgaria;2015-03-01;2192
Croatia;2015-03-01;3466
Czech Republic;2015-03-01;21155
Denmark;2015-03-01;19596
Estonia;2015-03-01;1993
Finland;2015-03-01;11102
France;2015-03-01;196565
Germany;2015-03-01;323039
Greece;2015-03-01;6529
Hungary;2015-03-01;6284
Ireland;2015-03-01;18910
Italy;2015-03-01;162181
Latvia;2015-03-01;1233
Lithuania;2015-03-01;1271
Luxembourg;2015-03-01;4868
Netherlands;2015-03-01;28642
Poland;2015-03-01;33343
Portugal;2015-03-01;20081
Romania;2015-03-01;5339
Slovakia;2015-03-01;6719
Slovenia;2015-03-01;6040
Spain;2015-03-01;112304
Sweden;2015-03-01;31590
United Kingdom;2015-03-01;492774
Iceland;2015-03-01;977
Norway;2015-03-01;14159
Switzerland;2015-03-01;31410
Austria;2015-04-01;29500
Belgium;2015-04-01;51423
Bulgaria;2015-04-01;2065
Croatia;2015-04-01;3746
Czech Republic;2015-04-01;20568
Denmark;2015-04-01;16942
Estonia;2015-04-01;2025
Finland;2015-04-01;9636
France;2015-04-01;170765
Germany;2015-04-01;291395
Greece;2015-04-01;7801
Hungary;2015-04-01;6736
Ireland;2015-04-01;9437
Italy;2015-04-01;149692
Latvia;2015-04-01;1239
Lithuania;2015-04-01;1746
Luxembourg;2015-04-01;5046
Netherlands;2015-04-01;26996
Poland;2015-04-01;28115
Portugal;2015-04-01;15016
Romania;2015-04-01;5482
Slovakia;2015-04-01;6532
Slovenia;2015-04-01;5425
Spain;2015-04-01;82716
Sweden;2015-04-01;30536
United Kingdom;2015-04-01;185778
Iceland;2015-04-01;1304
Norway;2015-04-01;12782
Switzerland;2015-04-01;28663
Austria;2015-05-01;26517
Belgium;2015-05-01;40502
Bulgaria;2015-05-01;2233
Croatia;2015-05-01;5000
Czech Republic;2015-05-01;18113
Denmark;2015-05-01;17036
Estonia;2015-05-01;1748
Finland;2015-05-01;9115
France;2015-05-01;143771
Germany;2015-05-01;256385
Greece;2015-05-01;9070
Hungary;2015-05-01;5874
Ireland;2015-05-01;6902
Italy;2015-05-01;146267
Latvia;2015-05-01;1174
Lithuania;2015-05-01;1467
Luxembourg;2015-05-01;4231
Netherlands;2015-05-01;27758
Poland;2015-05-01;26813
Portugal;2015-05-01;18345
Romania;2015-05-01;5927
Slovakia;2015-05-01;6596
Slovenia;2015-05-01;5442
Spain;2015-05-01;94031
Sweden;2015-05-01;29458
United Kingdom;2015-05-01;198706
Iceland;2015-05-01;2612
Norway;2015-05-01;12036
Switzerland;2015-05-01;27431
Austria;2015-06-01;30462
Belgium;2015-06-01;49426
Bulgaria;2015-06-01;2412
Croatia;2015-06-01;4725
Czech Republic;2015-06-01;21315
Denmark;2015-06-01;21330
Estonia;2015-06-01;2065
Finland;2015-06-01;8979
France;2015-06-01;225638
Germany;2015-06-01;313539
Greece;2015-06-01;8999
Hungary;2015-06-01;7347
Ireland;2015-06-01;1439
Italy;2015-06-01;142199
Latvia;2015-06-01;1243
Lithuania;2015-06-01;1589
Luxembourg;2015-06-01;4548
Netherlands;2015-06-01;36838
